Gene	TCGA-A5-A0R8	TCGA-AP-A05H	TCGA-BG-A0MI	TCGA-A5-A0R7	TCGA-B5-A11F	TCGA-AP-A1DQ	TCGA-B5-A11I	TCGA-BS-A0UF	TCGA-D1-A168	TCGA-D1-A15W	TCGA-D1-A0ZS	TCGA-BS-A0U8	TCGA-B5-A11W	TCGA-E6-A1LZ	TCGA-AP-A05D	TCGA-D1-A16D	TCGA-AP-A0LM	TCGA-BG-A0MQ	TCGA-AP-A05J	TCGA-B5-A0JV	TCGA-B5-A0K7	TCGA-BG-A0YU	TCGA-BG-A0VX	TCGA-EY-A1GS	TCGA-D1-A160	TCGA-B5-A0K0	TCGA-A5-A0GP	TCGA-BG-A0VW	TCGA-AP-A05P	TCGA-D1-A163	TCGA-A5-A0GW	TCGA-BS-A0WQ	TCGA-D1-A17R	TCGA-AX-A2HF	TCGA-D1-A16I	TCGA-BG-A18A	TCGA-BS-A0TG	TCGA-BK-A13C	TCGA-BG-A18C	TCGA-D1-A15Z	TCGA-A5-A0GJ	TCGA-AP-A0LH	TCGA-A5-A0RA	TCGA-D1-A167	TCGA-D1-A15V	TCGA-A5-A0VP	TCGA-AP-A059	TCGA-D1-A0ZR	TCGA-BS-A0U7	TCGA-BS-A0UA	TCGA-BK-A139	TCGA-B5-A0JR	TCGA-B5-A0K3	TCGA-FI-A2F8	TCGA-FI-A2EW	TCGA-B5-A0JS	TCGA-B5-A0K4	TCGA-D1-A17D	TCGA-BS-A0U5	TCGA-AP-A05A	TCGA-AX-A05U	TCGA-AX-A060	TCGA-BS-A0TA	TCGA-AX-A1CP	TCGA-BK-A0CC	TCGA-BG-A18B	TCGA-A5-A0R9	TCGA-D1-A1NX	TCGA-DI-A0WH	TCGA-AP-A0L8	TCGA-AP-A0LI	TCGA-B5-A0JZ	TCGA-D1-A16N	TCGA-D1-A103	TCGA-BG-A0M6	TCGA-D1-A0ZV	TCGA-A5-A0G5	TCGA-D1-A17U	TCGA-AP-A053	TCGA-D1-A16X	TCGA-AX-A062	TCGA-BS-A0TJ	TCGA-AX-A06L	TCGA-B5-A11Q	TCGA-BG-A0MO	TCGA-AP-A0LN	TCGA-EY-A212	TCGA-D1-A102	TCGA-BG-A0VZ	TCGA-AX-A063	TCGA-BS-A0TD	TCGA-BG-A187	TCGA-B5-A0K6	TCGA-BG-A0VV	TCGA-D1-A16B	TCGA-AX-A064	TCGA-AX-A05S	TCGA-AP-A0LP	TCGA-BS-A0TE	TCGA-BG-A0MG	TCGA-A5-A0GX	TCGA-B5-A0K9	TCGA-BG-A0M3	TCGA-AP-A0LF	TCGA-D1-A17T	TCGA-D1-A0ZU	TCGA-AX-A2H5	TCGA-AP-A0LL	TCGA-BG-A0M4	TCGA-EO-A1Y8	TCGA-D1-A165	TCGA-D1-A17Q	TCGA-D1-A169	TCGA-D1-A15X	TCGA-BG-A0M7	TCGA-D1-A0ZP	TCGA-AP-A0LT	TCGA-AP-A0LE	TCGA-AP-A05N	TCGA-D1-A0ZN	TCGA-D1-A0ZQ	TCGA-AP-A0LO	TCGA-BG-A0LX	TCGA-BG-A0M9	TCGA-BG-A0MS	TCGA-AP-A0LQ	TCGA-A5-A0VQ	TCGA-A5-A0GE	TCGA-D1-A17K	TCGA-BS-A0V8	TCGA-BG-A0YV	TCGA-AX-A1C8	TCGA-EO-A1Y5	TCGA-AP-A051	TCGA-BK-A0CA	TCGA-AX-A0IW	TCGA-BG-A0LW	TCGA-BG-A0M8	TCGA-D1-A1NU	TCGA-D1-A17L	TCGA-D1-A16Y	TCGA-A5-A0GI	TCGA-AX-A0J0	TCGA-AX-A05T	TCGA-D1-A161	TCGA-D1-A0ZZ	TCGA-BS-A0TI	TCGA-BG-A0W1	TCGA-AX-A05Y	TCGA-AX-A06B	TCGA-B5-A11E	TCGA-BG-A0M0	TCGA-A5-A0GV	TCGA-AX-A05Z	TCGA-D1-A17S	TCGA-B5-A11N	TCGA-DI-A1NN	TCGA-AX-A1C7	TCGA-FI-A2EX	TCGA-D1-A17B	TCGA-A5-A0GU	TCGA-B5-A11G	TCGA-D1-A17F	TCGA-A5-A0GA	TCGA-BS-A0UL	TCGA-AP-A054	TCGA-AX-A05W	TCGA-D1-A17H	TCGA-BS-A0U9	TCGA-B5-A0JY	TCGA-D1-A16E	TCGA-B5-A1MU	TCGA-B5-A11S	TCGA-BG-A0RY	TCGA-D1-A174	TCGA-D1-A16S	TCGA-B5-A11H	TCGA-AP-A0LD	TCGA-B5-A11Y	TCGA-B5-A11J	TCGA-B5-A0K2	TCGA-BK-A0CB	TCGA-BK-A0C9	TCGA-AP-A0LV	TCGA-A5-A0GH	TCGA-A5-A0GB	TCGA-BG-A0MT	TCGA-B5-A11Z	TCGA-B5-A11R	TCGA-BG-A0MU	TCGA-D1-A101	TCGA-AX-A06H	TCGA-B5-A0K8	TCGA-AP-A0L9	TCGA-FI-A2D2	TCGA-AP-A0LJ	TCGA-D1-A16G	TCGA-BG-A0MC	TCGA-BS-A0TC	TCGA-D1-A17N	TCGA-D1-A17A	TCGA-BG-A2AE	TCGA-B5-A1MY	TCGA-A5-A0GN	TCGA-BG-A0M2	TCGA-BS-A0UT	TCGA-A5-A0G9	TCGA-BS-A0V6	TCGA-AP-A056	TCGA-D1-A17C	TCGA-AP-A052	TCGA-BS-A0V7	TCGA-BS-A0UV	TCGA-B5-A0JN	TCGA-B5-A11O	TCGA-B5-A11U	TCGA-D1-A0ZO	TCGA-AX-A0IS	TCGA-B5-A121	TCGA-B5-A0JT	TCGA-B5-A11V	TCGA-BG-A0VT	TCGA-BG-A186	TCGA-AX-A0J1	TCGA-BS-A0T9	TCGA-AX-A0IU	TCGA-D1-A176	TCGA-A5-A0R6	TCGA-D1-A177	TCGA-D1-A16O	TCGA-B5-A0K1	TCGA-D1-A16Q	TCGA-A5-A0GQ	TCGA-D1-A16J	TCGA-A5-A0GM	TCGA-AJ-A23M	TCGA-BS-A0UJ	TCGA-D1-A17M	TCGA-AP-A0LG	TCGA-BG-A0W2
RP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JAG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CITED4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CTNNB1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	1	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1
C9orf142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INTS4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TFB2M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIK3CA	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	1	1	0	1	1	0	1	0	0	1	0	0	0	1	1	0	0	1	1	0	1	0	1	1	1	1	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	1	1	1	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	0	1	0	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1
RAB20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDAH1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
