Phylostrata,ZFIN_ID,PhylostrataName
1,ZDB-GENE-011023-1,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-011128-5,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-011128-6,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-011128-7,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-011128-8,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-011128-9,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-011205-10,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-011205-11,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-011205-12,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-011205-14,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-011205-15,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-011205-16,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-011205-17,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-011205-18,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-011205-7,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-011205-8,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-011205-9,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-011102-1,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-011105-1,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-011210-1,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-011212-1,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-011212-2,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-011212-4,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-011212-5,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-011219-1,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020107-1,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020107-2,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020107-3,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020108-2,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020111-1,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020114-1,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020125-1,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020125-2,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020125-3,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020125-4,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020125-5,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020125-7,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020129-1,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020220-1,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020103-2,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020225-34,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020225-40,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020228-1,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020326-1,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020402-2,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020415-2,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020416-3,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020416-4,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020418-2,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020419-11,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020419-12,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020419-19,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020419-20,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020419-21,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020419-22,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020419-23,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020419-24,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020419-25,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020419-27,Life before LCA of Cellular organisms  -  cellular organisms
1,ZDB-GENE-020419-28,Life before LCA of Cellular organisms  -  cellular organisms
